<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
SBER;0;20260413;083836;317.89;21
SBER;0;20260413;083837;317.88;72
SBER;0;20260413;083839;317.88;4
SBER;0;20260413;083839;317.86;1
SBER;0;20260413;083839;317.86;1
SBER;0;20260413;083839;317.85;206
SBER;0;20260413;083839;317.85;6
SBER;0;20260413;083839;317.81;100
SBER;0;20260413;083839;317.81;315
SBER;0;20260413;083839;317.8;151
SBER;0;20260413;083839;317.8;38
SBER;0;20260413;083839;317.8;130
SBER;0;20260413;083839;317.8;1
SBER;0;20260413;083839;317.8;52
SBER;0;20260413;083842;317.88;1
SBER;0;20260413;083843;317.88;10
SBER;0;20260413;083844;317.88;3
SBER;0;20260413;083845;317.88;3
SBER;0;20260413;083846;317.86;4
SBER;0;20260413;083847;317.86;1
SBER;0;20260413;083850;317.82;5
SBER;0;20260413;083852;317.86;1
SBER;0;20260413;083852;317.86;5
SBER;0;20260413;083852;317.82;1
SBER;0;20260413;083852;317.86;2
SBER;0;20260413;083854;317.86;3
SBER;0;20260413;083855;317.86;1
SBER;0;20260413;083856;317.86;142
SBER;0;20260413;083912;317.85;5
SBER;0;20260413;083913;317.86;13
SBER;0;20260413;083914;317.85;10
SBER;0;20260413;083916;317.84;2
SBER;0;20260413;083918;317.85;1
SBER;0;20260413;083919;317.86;2
SBER;0;20260413;083920;317.85;2
SBER;0;20260413;083922;317.86;100
SBER;0;20260413;083922;317.86;1
SBER;0;20260413;083924;317.85;1
SBER;0;20260413;083925;317.86;2
SBER;0;20260413;083926;317.86;1
SBER;0;20260413;083932;317.83;1
SBER;0;20260413;083933;317.85;6
SBER;0;20260413;083934;317.86;1
SBER;0;20260413;083935;317.86;21
SBER;0;20260413;083935;317.84;32
SBER;0;20260413;083946;317.86;6
SBER;0;20260413;083949;317.86;10
SBER;0;20260413;083949;317.86;2
SBER;0;20260413;083951;317.86;1
SBER;0;20260413;083953;317.86;16
SBER;0;20260413;083956;317.86;100
SBER;0;20260413;083956;317.86;1
SBER;0;20260413;084001;317.85;2
SBER;0;20260413;084001;317.85;14
SBER;0;20260413;084001;317.85;11
SBER;0;20260413;084002;317.85;1
SBER;0;20260413;084004;317.84;4
SBER;0;20260413;084005;317.85;1
SBER;0;20260413;084006;317.85;1
SBER;0;20260413;084007;317.84;4
SBER;0;20260413;084008;317.85;1
SBER;0;20260413;084011;317.83;30
SBER;0;20260413;084015;317.84;1
SBER;0;20260413;084027;317.84;1
SBER;0;20260413;084028;317.84;15
SBER;0;20260413;084029;317.84;2
SBER;0;20260413;084029;317.84;1
SBER;0;20260413;084030;317.84;50
SBER;0;20260413;084037;317.84;1
SBER;0;20260413;084039;317.84;1
SBER;0;20260413;084040;317.84;1
SBER;0;20260413;084045;317.84;1
SBER;0;20260413;084045;317.82;25
SBER;0;20260413;084045;317.82;1
SBER;0;20260413;084045;317.81;1179
SBER;0;20260413;084045;317.81;315
SBER;0;20260413;084045;317.81;8
SBER;0;20260413;084045;317.81;10
SBER;0;20260413;084045;317.81;11
SBER;0;20260413;084045;317.81;1
SBER;0;20260413;084045;317.81;1
SBER;0;20260413;084045;317.81;1
SBER;0;20260413;084045;317.81;1
SBER;0;20260413;084045;317.81;1
SBER;0;20260413;084045;317.8;1791
SBER;0;20260413;084045;317.8;322
SBER;0;20260413;084045;317.8;1
SBER;0;20260413;084045;317.8;1
SBER;0;20260413;084045;317.8;210
SBER;0;20260413;084049;317.8;1
SBER;0;20260413;084059;317.8;4
SBER;0;20260413;084103;317.8;6
SBER;0;20260413;084104;317.8;10
SBER;0;20260413;084105;317.8;6
SBER;0;20260413;084106;317.8;1
SBER;0;20260413;084114;317.8;1
SBER;0;20260413;084114;317.8;3
SBER;0;20260413;084119;317.78;5
SBER;0;20260413;084119;317.78;5
SBER;0;20260413;084120;317.8;3
SBER;0;20260413;084125;317.8;86
SBER;0;20260413;084125;317.8;1
SBER;0;20260413;084125;317.81;54
SBER;0;20260413;084125;317.81;106
SBER;0;20260413;084129;317.81;9
SBER;0;20260413;084131;317.81;1
SBER;0;20260413;084139;317.81;7
SBER;0;20260413;084140;317.81;1
SBER;0;20260413;084143;317.79;24
SBER;0;20260413;084147;317.79;30
SBER;0;20260413;084150;317.81;1
SBER;0;20260413;084153;317.79;2
SBER;0;20260413;084155;317.79;7
SBER;0;20260413;084156;317.79;1
SBER;0;20260413;084157;317.79;11
SBER;0;20260413;084159;317.79;1
SBER;0;20260413;084159;317.79;1
SBER;0;20260413;084200;317.79;1
SBER;0;20260413;084202;317.79;15
SBER;0;20260413;084202;317.79;1
SBER;0;20260413;084208;317.79;350
SBER;0;20260413;084211;317.79;2
SBER;0;20260413;084213;317.79;1
SBER;0;20260413;084213;317.78;1
SBER;0;20260413;084213;317.78;1
SBER;0;20260413;084213;317.78;1
SBER;0;20260413;084213;317.78;45
SBER;0;20260413;084213;317.77;1
SBER;0;20260413;084213;317.77;4
SBER;0;20260413;084213;317.77;3
SBER;0;20260413;084213;317.77;2
SBER;0;20260413;084213;317.77;1
SBER;0;20260413;084213;317.76;31
SBER;0;20260413;084213;317.76;1
SBER;0;20260413;084213;317.75;66
SBER;0;20260413;084217;317.77;4
